SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2018-11-28,Historical,Adult-Use,Retail,Concentrate,216.6,289,19043.18
2001-01-01 - 2026-04-12,2018-11-28,Historical,Adult-Use,Retail,Concentrate (Each),1827.0,1646,104062.6
2001-01-01 - 2026-04-12,2018-11-28,Historical,Adult-Use,Retail,Infused (edible),2333.0,1742,59846.47
2001-01-01 - 2026-04-12,2018-11-28,Historical,Adult-Use,Retail,Infused (non-edible),72.0,66,2852.86
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Buds,9974.46,4943,156031.83
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Concentrate,337.9,368,26665.24
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Concentrate (Each),1916.0,1759,110076.01
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Infused (edible),1978.0,1334,49645.81
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Infused (non-edible),65.0,62,2479.02
2001-01-01 - 2026-04-12,2018-11-29,Historical,Adult-Use,Retail,Kief,68.9,12,324.5
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Buds,12329.33,5986,186203.18
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Concentrate,395.7,430,32724.85
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Concentrate (Each),2413.0,2196,136600.57
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Infused (edible),2459.0,1754,66339.82
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Infused (non-edible),65.0,62,2156.87
2001-01-01 - 2026-04-12,2018-11-30,Historical,Adult-Use,Retail,Kief,164.3,27,775.0
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Buds,10345.85,5800,172906.55
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Concentrate,363.8,544,40064.31
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Concentrate (Each),2388.0,2096,134890.91
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Infused (edible),2885.0,2026,68948.78
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Infused (non-edible),60.0,57,2039.51
2001-01-01 - 2026-04-12,2018-12-01,Historical,Adult-Use,Retail,Kief,100.7,18,475.0
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Buds,10825.08,4972,157659.26
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Concentrate,137.1,237,17577.79
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Concentrate (Each),1994.0,1830,114492.04
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Infused (edible),2823.0,1981,57128.76
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Infused (non-edible),66.0,58,2245.01
2001-01-01 - 2026-04-12,2018-12-02,Historical,Adult-Use,Retail,Kief,31.8,5,150.0
2001-01-01 - 2026-04-12,2018-12-03,Historical,Adult-Use,Retail,Buds,10283.32,4220,146781.63
2001-01-01 - 2026-04-12,2018-12-03,Historical,Adult-Use,Retail,Concentrate (Each),1732.0,1533,83384.09
2001-01-01 - 2026-04-12,2018-12-03,Historical,Adult-Use,Retail,Infused (edible),1701.0,1141,39894.84
2001-01-01 - 2026-04-12,2018-12-03,Historical,Adult-Use,Retail,Infused (non-edible),44.0,42,1440.24
2001-01-01 - 2026-04-12,2018-12-04,Historical,Adult-Use,Retail,Buds,8975.75,4091,128621.55
2001-01-01 - 2026-04-12,2018-12-04,Historical,Adult-Use,Retail,Concentrate (Each),1658.0,1470,78980.05
2001-01-01 - 2026-04-12,2018-12-04,Historical,Adult-Use,Retail,Infused (edible),2185.0,1674,53078.47
2001-01-01 - 2026-04-12,2018-12-04,Historical,Adult-Use,Retail,Infused (non-edible),53.0,49,1942.58
2001-01-01 - 2026-04-12,2018-12-04,Historical,Adult-Use,Retail,Kief,15.9,3,75.0
2001-01-01 - 2026-04-12,2018-12-05,Historical,Adult-Use,Retail,Buds,9322.119999999999,3933,132873.89
2001-01-01 - 2026-04-12,2018-12-05,Historical,Adult-Use,Retail,Concentrate,64.2,191,8658.45
2001-01-01 - 2026-04-12,2018-12-05,Historical,Adult-Use,Retail,Concentrate (Each),1952.0,1728,92796.59
2001-01-01 - 2026-04-12,2018-12-05,Historical,Adult-Use,Retail,Infused (edible),2180.0,1650,55627.93
2001-01-01 - 2026-04-12,2018-12-05,Historical,Adult-Use,Retail,Infused (non-edible),59.0,49,2089.0
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Buds,10609.0,4150,140621.96
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Concentrate,138.6,431,18719.33
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Concentrate (Each),2112.0,1857,99448.4
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Infused (edible),1459.0,1073,43722.78
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Infused (non-edible),85.0,70,2750.0
2001-01-01 - 2026-04-12,2018-12-06,Historical,Adult-Use,Retail,Kief,5.3,1,25.0
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Buds,15157.33,5871,193043.84
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Concentrate,341.2,603,30802.89
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Concentrate (Each),2268.0,1986,110864.85
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Infused (edible),1615.0,1168,52638.22
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Infused (non-edible),57.0,48,1868.87
2001-01-01 - 2026-04-12,2018-12-07,Historical,Adult-Use,Retail,Kief,121.9,89,2699.35
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Buds,14003.61,5757,179275.79
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Concentrate,214.7,351,22120.57
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Concentrate (Each),2488.0,2176,118974.38
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Infused (edible),2108.0,1589,60710.19
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Infused (non-edible),42.0,39,1430.01
2001-01-01 - 2026-04-12,2018-12-08,Historical,Adult-Use,Retail,Kief,1.0,1,25.0
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Buds,11577.66,4646,148448.79
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Concentrate,158.0,281,19269.68
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Concentrate (Each),1937.0,1743,94115.53
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Infused (edible),1821.0,1369,48214.42
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Infused (non-edible),47.0,44,1735.0
2001-01-01 - 2026-04-12,2018-12-09,Historical,Adult-Use,Retail,Kief,3.0,3,75.0
2001-01-01 - 2026-04-12,2018-12-10,Historical,Adult-Use,Retail,Buds,10024.18,3990,127122.35
2001-01-01 - 2026-04-12,2018-12-10,Historical,Adult-Use,Retail,Concentrate,148.5,251,18049.1
2001-01-01 - 2026-04-12,2018-12-10,Historical,Adult-Use,Retail,Concentrate (Each),1686.0,1468,81454.14
2001-01-01 - 2026-04-12,2018-12-10,Historical,Adult-Use,Retail,Infused (edible),1418.0,1012,39390.24
2001-01-01 - 2026-04-12,2018-12-10,Historical,Adult-Use,Retail,Infused (non-edible),42.0,32,1410.0
2001-01-01 - 2026-04-12,2018-12-11,Historical,Adult-Use,Retail,Buds,10289.15,4001,133715.7
2001-01-01 - 2026-04-12,2018-12-11,Historical,Adult-Use,Retail,Concentrate,212.5,356,25916.5
2001-01-01 - 2026-04-12,2018-12-11,Historical,Adult-Use,Retail,Concentrate (Each),1676.0,1487,81744.42
2001-01-01 - 2026-04-12,2018-12-11,Historical,Adult-Use,Retail,Infused (edible),1615.0,1121,45620.05
2001-01-01 - 2026-04-12,2018-12-11,Historical,Adult-Use,Retail,Infused (non-edible),54.0,50,1968.0
2001-01-01 - 2026-04-12,2018-12-12,Historical,Adult-Use,Retail,Buds,8830.89,3870,118136.01
2001-01-01 - 2026-04-12,2018-12-12,Historical,Adult-Use,Retail,Concentrate,192.0,344,23371.39
2001-01-01 - 2026-04-12,2018-12-12,Historical,Adult-Use,Retail,Concentrate (Each),1897.0,1672,97675.47
2001-01-01 - 2026-04-12,2018-12-12,Historical,Adult-Use,Retail,Infused (edible),1264.0,854,44304.56
2001-01-01 - 2026-04-12,2018-12-12,Historical,Adult-Use,Retail,Infused (non-edible),75.0,59,2800.0
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Buds,10464.19,4901,132517.46
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Concentrate,176.0,311,21403.16
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Concentrate (Each),1738.0,1563,91130.4
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Infused (edible),1667.0,1224,52491.45
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Infused (non-edible),61.0,55,2329.09
2001-01-01 - 2026-04-12,2018-12-13,Historical,Adult-Use,Retail,Kief,87.0,78,2174.48
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Buds,10981.21,4655,142738.13
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Concentrate,228.5,415,27526.86
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Concentrate (Each),2296.0,2017,116462.48
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Infused (edible),2210.0,1628,59653.73
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Infused (non-edible),56.0,51,2618.15
2001-01-01 - 2026-04-12,2018-12-14,Historical,Adult-Use,Retail,Kief,120.0,106,2955.75
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Buds,11419.26,4980,155616.42
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Concentrate,199.0,362,24209.06
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Concentrate (Each),2397.0,2095,117649.77
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Infused (edible),2910.0,1941,65337.24
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Infused (non-edible),667.0,600,39694.79
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Kief,18.0,18,425.16
2001-01-01 - 2026-04-12,2018-12-15,Historical,Adult-Use,Retail,Shake/Trim (by strain),364.0,282,5430.0
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Buds,11093.07,3930,145683.19
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Concentrate,217.0,388,26465.32
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Concentrate (Each),2200.0,1957,108276.64
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Infused (edible),1638.0,1077,41459.98
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Infused (non-edible),630.0,588,37050.59
2001-01-01 - 2026-04-12,2018-12-16,Historical,Adult-Use,Retail,Shake/Trim (by strain),224.0,150,3340.0
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Buds,10629.07,3864,148610.04
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Concentrate,38.5,66,4695.46
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Concentrate (Each),2388.0,2107,117479.98
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Infused (edible),1073.0,782,31113.22
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Infused (non-edible),516.0,456,31016.0
2001-01-01 - 2026-04-12,2018-12-17,Historical,Adult-Use,Retail,Shake/Trim (by strain),221.0,150,3297.0
2001-01-01 - 2026-04-12,2018-12-18,Historical,Adult-Use,Retail,Buds,10943.91,4431,154952.19
2001-01-01 - 2026-04-12,2018-12-18,Historical,Adult-Use,Retail,Concentrate (Each),2476.0,2125,118554.55
2001-01-01 - 2026-04-12,2018-12-18,Historical,Adult-Use,Retail,Infused (edible),925.0,884,24586.86
2001-01-01 - 2026-04-12,2018-12-18,Historical,Adult-Use,Retail,Infused (non-edible),521.0,491,32541.95
2001-01-01 - 2026-04-12,2018-12-18,Historical,Adult-Use,Retail,Shake/Trim (by strain),201.0,118,2956.0
2001-01-01 - 2026-04-12,2018-12-19,Historical,Adult-Use,Retail,Buds,11713.060000000001,4328,161021.74
2001-01-01 - 2026-04-12,2018-12-19,Historical,Adult-Use,Retail,Concentrate (Each),2950.0,2510,141604.38
2001-01-01 - 2026-04-12,2018-12-19,Historical,Adult-Use,Retail,Infused (edible),474.0,460,19963.49
2001-01-01 - 2026-04-12,2018-12-19,Historical,Adult-Use,Retail,Infused (non-edible),511.0,476,31145.0
2001-01-01 - 2026-04-12,2018-12-19,Historical,Adult-Use,Retail,Shake/Trim (by strain),90.0,50,1350.0
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Buds,14195.45,6092,193595.27
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Concentrate,173.0,165,10196.42
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Concentrate (Each),2654.0,2352,129448.06
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Infused (edible),610.0,596,21106.68
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Infused (non-edible),480.0,429,33384.92
2001-01-01 - 2026-04-12,2018-12-20,Historical,Adult-Use,Retail,Shake/Trim (by strain),1.0,1,9.0
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Buds,12674.8,4544,178971.96
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Concentrate,421.1,170,13336.09
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Concentrate (Each),3183.0,2638,152533.45
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Infused (edible),1534.0,1129,40496.16
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Infused (non-edible),402.0,324,28530.0
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Kief,169.6,3,886.0
2001-01-01 - 2026-04-12,2018-12-21,Historical,Adult-Use,Retail,Shake/Trim (by strain),370.0,65,5477.56
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Buds,14844.16,6156,228602.71
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Concentrate,256.0,195,15699.91
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Concentrate (Each),3811.0,3274,188999.15
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Infused (edible),2913.0,2176,65431.03
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Infused (non-edible),394.0,345,30842.0
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Kief,46.0,3,1363.82
2001-01-01 - 2026-04-12,2018-12-22,Historical,Adult-Use,Retail,Shake/Trim (by strain),557.0,13,8900.94
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Buds,12961.189999999999,4687,184624.05
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Concentrate,34.0,11,2361.6
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Concentrate (Each),3363.0,2979,167639.02
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Infused (edible),2447.0,1995,56612.88
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Infused (non-edible),283.0,227,19950.0
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Kief,19.0,3,570.0
2001-01-01 - 2026-04-12,2018-12-23,Historical,Adult-Use,Retail,Shake/Trim (by strain),528.0,54,8332.26
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Buds,8025.83,3501,112249.53
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Concentrate,1.0,1,60.0
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Concentrate (Each),2375.0,2224,117111.93
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Infused (edible),1242.0,1141,27155.23
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Infused (non-edible),206.0,167,11207.0
2001-01-01 - 2026-04-12,2018-12-24,Historical,Adult-Use,Retail,Shake/Trim (by strain),92.0,39,1350.0
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Buds,16475.95,5951,235790.54
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Concentrate,77.0,44,6437.71
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Concentrate (Each),3873.0,3388,210897.31
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Infused (edible),1507.0,1054,35737.41
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Infused (non-edible),306.0,284,16445.0
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Kief,32.0,3,960.0
2001-01-01 - 2026-04-12,2018-12-26,Historical,Adult-Use,Retail,Shake/Trim (by strain),552.25,38,8809.1
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Buds,16461.5,6618,239109.51
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Concentrate,45.0,12,3144.0
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Concentrate (Each),4003.0,3512,221235.85
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Infused (edible),2064.0,1740,45623.73
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Infused (non-edible),405.0,381,24456.4
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Kief,31.0,3,930.0
2001-01-01 - 2026-04-12,2018-12-27,Historical,Adult-Use,Retail,Shake/Trim (by strain),491.25,60,7734.84
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Buds,15850.84,5552,225817.28
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Concentrate,47.0,10,3240.01
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Concentrate (Each),3989.0,3546,224543.65
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Infused (edible),2272.0,1937,45377.28
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Infused (non-edible),343.0,273,19645.0
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Kief,40.0,3,1200.0
2001-01-01 - 2026-04-12,2018-12-28,Historical,Adult-Use,Retail,Shake/Trim (by strain),632.25,165,10141.8
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Buds,16734.9,6666,235010.91
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Concentrate,56.0,3,4032.0
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Concentrate (Each),3490.0,3086,197136.87
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Infused (edible),2006.0,1688,35460.02
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Infused (non-edible),267.0,219,19690.0
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Kief,43.0,3,1290.0
2001-01-01 - 2026-04-12,2018-12-29,Historical,Adult-Use,Retail,Shake/Trim (by strain),582.0,123,9393.0
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Buds,16014.779999999999,5640,223019.89
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Concentrate,26.0,3,1872.0
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Concentrate (Each),3208.0,2875,181328.0
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Infused (edible),944.0,769,18441.61
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Infused (non-edible),220.0,146,13600.0
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Kief,21.0,2,630.0
2001-01-01 - 2026-04-12,2018-12-30,Historical,Adult-Use,Retail,Shake/Trim (by strain),520.25,126,8317.2
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Buds,12239.49,5248,172575.45
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Concentrate,186.0,142,11112.02
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Concentrate (Each),2480.0,2211,137907.27
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Infused (edible),635.0,444,15443.84
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Infused (non-edible),83.0,70,5691.0
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Kief,36.0,2,1080.0
2001-01-01 - 2026-04-12,2018-12-31,Historical,Adult-Use,Retail,Shake/Trim (by strain),427.5,29,6847.2
2001-01-01 - 2026-04-12,2019-01-01,Historical,Adult-Use,Retail,Buds,5069.2,2495,69480.89
2001-01-01 - 2026-04-12,2019-01-01,Historical,Adult-Use,Retail,Concentrate,19.0,19,1080.01
2001-01-01 - 2026-04-12,2019-01-01,Historical,Adult-Use,Retail,Concentrate (Each),1499.0,1406,76780.27
